peer-type,system-ip,local-color,remote-color,uptime,site-id,protocol,state
vsmart,90.90.90.3,private2,default,0:02:52:05,900,tls,up
vsmart,90.90.90.3,public-internet,default,0:02:52:05,900,tls,up
vmanage,90.90.90.1,public-internet,default,0:02:52:05,900,dtls,up
