system-ip,host-name,site-id,status,version
90.90.90.1,Manager-20-9,900,normal,20.9.5.2
90.90.90.3,Controller-20-9,900,normal,20.9.5.1
90.90.90.2,Validator-20-9,900,normal,20.9.5.1
10.0.1.1,S1001-SD1,1001,normal,17.06.05.0.5797
10.0.1.2,S1001-SD2,1001,normal,17.06.05.0.5797
10.0.2.1,S1002-SD1,1002,normal,17.09.05a.0.6476
10.0.3.1,S1003-SD1,1003,normal,17.09.05a.0.6476
10.0.4.1,S1004-SD1,1004,normal,17.06.05.0.5797
10.0.4.2,S1004-SD2,1004,normal,17.06.05.0.5797
